,,,,,
,"product_sku","product_node_id","nutrition_table_item","amount_per_serving","percent_daily_value "
903,"3170",666,"Servings Per Container:",30,
904,"3170",666,"Calories",10," "
905,"3170",666,"Total Carbohydrate","2 g","<1% "
906,"3170",666,"Sodium","110 mg",5%
907,"3170",666,"Potassium (from Potassium Chloride)","245 mg",7%
908,"3170",666,"<strong>Glucosamine Sulfate</strong><br /> <strong>(from 1500 mg Glucosamine Potassium Sulfate Complex)</strong>","<strong>1.1 g (1,100 mg)</strong>","<strong>†</strong> "
909,"3170",666,"<strong>Chondroitin Sodium Sulfate (from Bovine Cartilage)</strong>","<strong>1.2 g (1,200 mg)</strong>","<strong>†</strong> "
910,"3170",666,"<strong>MSM (Methylsuiphonylmethane)</strong>","<strong>300 mg</strong>","<strong>†</strong> "
911,"3172",667,"Serving Size:","3 Capsules",
912,"3172",667,"Servings Per Container:",60,
913,"3172",667,"Calories",10," "
914,"3172",667,"Total Carbohydrate","2 g","<1% "
915,"3172",667,"Sodium","110 mg",5%
916,"3172",667,"Potassium (from Potassium Chloride)","245 mg",7%
917,"3172",667,"<b>Glucosamine Sulfate</b>","<b>1.1 g (1,100 mg)</b>","<b>†</b> "
918,"3172",667,"<b>(from 1500 mg Glucosamine Potassium Sulfate Complex)</b>",," "
919,"3172",667,"<b>Chondroitin Sodium Sulfate (from Bovine Cartilage)</b>","<b>1.2 g (1,200 mg)</b>","<b>†</b> "
920,"3172",667,"<b>MSM (Methylsulphonylmethane)</b>","<b>300 mg</b>","<b>†</b> "
921,"3175",691,"Serving Size:","1 Tablespoon (15 mL)",
922,"3175",691,"Servings Per Container:",31,
923,"3175",691,"Calories",15," "
924,"3175",691,"Vitamin C (as Ascorbic Acid)","125 mg",208%
925,"3175",691,"Manganese (from Manganese AAC*)","4 mg",200%
926,"3175",691,"Sodium","60 mg",3%
927,"3175",691,"Potassium","5 mg","&#60;1% "
928,"3175",691,"Glucosamine HCl","750 mg","† "
929,"3175",691,"Chondroitin Sodium Sulfate (from Bovine Carilage)","600 mg","† "
930,"3175",691,"MSM  (Methylsulphonylmethane)","150 mg","† "
931,"3176",638,"Serving Size:","1 Vcap&ampreg;",
932,"3176",638,"Servings Per Container:",60,
933,"3176",638,"<b>Coenzyme Q10 (CoQ10)</b>","<b>200 mg*</b>"," "
934,"3188",639,"Serving Size:","1 Vcap&ampreg;",
935,"3188",639,"Servings Per Container:",120,
936,"3188",639,"Coenzyme Q10 (CoQ10)","30 mg*"," "
937,"3193",640,"Serving Size:","1 Softgel",
938,"3193",640,"Servings Per Container:",100,
939,"3193",640,"Vitamin E (as d-alpha Tocopheryl Acetate)","30 IU",100%
940,"3193",640,"Selenium (from L-Selenomethionine)","70 mcg",100%
941,"3193",640,"<b>Coenzyme Q10 (CoQ10)</b>","<b>50 mg</b>","<b>†</b> "
942,"3198",635,"Serving Size:","1 Softgel",
943,"3198",635,"Servings Per Container:",60,
944,"3198",635,"Calories",7," "
945,"3198",635,"Serving Size","1 Softgel"," "
946,"3198",635,"Calories from Fat",5," "
947,"3198",635,"Total Fat","0.5 g",1%
948,"3198",635,"Trans Fat","0 g"," "
949,"3198",635,"Vitamin E (as d-alpha Tocopherol)","30 IU",100%
950,"3198",635,"<b>Coenzyme Q10 (CoQ10)</b>","<b>400 mg</b>"," "
951,"3198",635,"Soy Lecithin","35 mg"," "
952,"3208",636,"Serving Size:","1 Softgel",
953,"3208",636,"Servings Per Container:",50,
954,"3208",636,"Vitamin E (from Mixed Tocopherols)","30 IU",100%
955,"3208",636,"<b>Coenzyme Q10 (CoQ10)</b>","<b>100 mg</b>","<b>†</b> "
956,"3209",637,"Serving Size:","1 Softgel",
957,"3209",637,"Servings Per Container:",150,
958,"3209",637,"Vitamin E (from Mixed Tocopherols)","30 IU",100%
959,"3209",637,"<b>Coenzyme Q10 (CoQ10)</b>","<b>100 mg</b>"," "
960,"3223",665,"Serving Size:","2 Tablets",
961,"3223",665,"Servings Per Container:",50,
962,"3223",665,"Potassium (from Potassium Chloride)","360 mg",10%
963,"3223",665,"<b>Glucosamine Sulfate (from 3,000 mg Glucosamine Potassium</b>","<b>2.2 g (2,200 mg)</b>","<b>†</b> "
964,"3223",665,"<b>Sulfate Complex)</b>",," "
965,"3237",671,"Serving Size:","2 Capsules",
966,"3237",671,"Servings Per Container:",30,
967,"3237",671,"Calories",6," "
968,"3237",671,"Total Carbohydrates","1 g","<1% "
969,"3237",671,"<b>Glucosamine Hydrochloride</b>","<b>2 g (2,000 mg)</b>","<b>†</b> "
970,"3239",673,"Serving Size:","2 Capsules",
971,"3239",673,"Servings Per Container:",90,
972,"3239",673,"Calories",6," "
973,"3239",673,"Serving Size","2 Capsules"," "
974,"3239",673,"Total Carbohydrate","1 g","<1% "
975,"3239",673,"Servings Per Container",90," "
976,"3239",673,"<b>Glucosamine Hydrochloride</b>","<b>2.0 g (2,000 mg)</b>"," "
977,"3243",668,"Serving Size:","2 Tablets",
978,"3243",668,"Servings Per Container:",60,
979,"3243",668,"Calories",10," "
980,"3243",668,"Total Carbohydrate","2 g","<1%* "
981,"3243",668,"Sodium","110 mg",5%
982,"3243",668,"Potassium (from Potassium Chloride)","245 mg",7%
983,"3243",668,"<b>Glucosamine Sulfate (from Glucosamine Potassium Sulfate Complex)</b>","<b>1.5 g (1,500 mg)</b>","<b>†</b> "
984,"3243",668,"<b>Chondroitin Sodium Sulfate (from Bovine Cartilage)</b>","<b>1.2 g (1,200 mg)</b>","<b>†</b> "
985,"3262",702,"Serving Size:","1 Tablet",
986,"3262",702,"Servings Per Container:",100,
987,"3262",702,"Niacin (as Niacinamide)","100 mg",500%
988,"3262",702,"Vitamin B-6 (as Pyridoxine HCl)","5 mg",250%
989,"3262",702,"Magnesium (from Magnesium Citrate)","40 mg",10%
990,"3262",702,"<b>Melatonin</b>","<b>1 mg</b>","<b>†</b> "
991,"3270",765,"Serving Size:","6 Capsules",
992,"3270",765,"Servings Per Container:",16,
993,"3270",765,"Calories",10," "
994,"3270",765,"Total Carbohydrate","0.9 g","<1% "
995,"3270",765,"Sodium","40 mg",2%
996,"3270",765,"Protein","2 g",4%
997,"3270",765,"Calcium","810 mg",81%
998,"3270",765,"Phosphorous","405 mg",41%
999,"3270",765,"<b>Shark Cartilage</b>","<b>4.5 g</b>","<b>†</b> "
1000,"3270",765,"Mucopolysaccharides","720 mg","† "
1001,"3278",670,"Serving Size:","2 Capsules",
1002,"3278",670,"Servings Per Container:",30,
1003,"3278",670,"Glucosamine Sulfate","1.1 g (1,100 mg)","† "
1004,"3278",670,"(from 1,500 mg Glucosamine Potassium Sulfate Complex)",," "
1005,"3278",670,"MSM (Methylsulphonylmethane)","500 mg","† "
1006,"3278",670,"Potassium (from Potassium Chloride)","245 mg",6%
1007,"3278",670,"Chondroitin Sodium Sulfate (from Bovine Cartilage)","50 mg","† "
1008,"3279",669,"Serving Size:","2 Capsules",
1009,"3279",669,"Servings Per Container:",90,
1010,"3279",669,"Glucosamine Sulfate (from 1500mg Glucosamine Potassium Sulfate Complex)","1.1 g (1,100 mg)","† "
1011,"3279",669,"MSM (Methylsulphonylmethane)","500 mg","† "
1012,"3279",669,"Potassium (as Potassium Chloride)","245 mg",6%
1013,"3279",669,"Chondroitin Sodium Sulfate (from Bovine Cartilage)","50 mg","† "
1014,"3282",754,"Serving Size:","3 Tablets",
1015,"3282",754,"Servings Per Container:",20,
1016,"3282",754,"Vitamin C (as Magnesium Ascorbate)","500 mg",830%
1017,"3282",754,"Vitamin B-6 (as Pyridoxine HCl)","20 mg",1000%
1018,"3282",754,"Pantothenic Acid","100 mg",1000%
1019,"3282",754,"Magnesium (as Magnesium Ascorbate)","40 mg",10%
1020,"3282",754,"Zinc (as L-OptiZinc<sup>TM</sup> Monomethionine)","10 mg",70%
1021,"3282",754,"Quercetin","800 mg","† "
1022,"3282",754,"Nettle Extract (Urtica dioica) (root) (standardized 30ppm scopoletin)","500 mg","† "
1023,"3282",754,"Bromelain (2000 GDU)","500 mg","† "
1024,"3282",754,"Licorice Extract (Glycyrrhiza glabra)(root) (4:1 extract)","200 mg","† "
1025,"3283",672,"Serving Size:",,
1026,"3283",672,"Servings Per Container:",,
1027,"3301",713,"Serving Size:","3 Capsules",
1028,"3301",713,"Servings Per Container:",30,
1029,"3301",713,"Beta-Carotene (Betatene®) (as pro-Vitamin A 6 mg)","10,000 IU",200%
1030,"3301",713,"Vitamin C (as Ascorbic Acid)","250 mg",417%
1031,"3301",713,"Vitamin E (from d-alpha Tocopheryl Succinate)","100 IU",333%
1032,"3301",713,"Riboflavin (Vitamin B-2)","15 mg",882%
1033,"3301",713,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
1034,"3301",713,"Vitamin B-12 (as Methylcobalamin)","100 mcg",1667%
1035,"3301",713,"Zinc (from L-OptiZinc® Zinc-L-Methionine)","7.5 mg",50%
1036,"3301",713,"Selenium (from SelenoPure™ L-Selenomethionine) (Yeast-Free)","50 mcg",71%
1037,"3301",713,"Chromium (from ChromeMate® Chromium Polynicotinate)","50 mcg",42%
1038,"3301",713,"Citrus Bioflavonoids (min. 37% total bioflavonoids as&ampnbsp;Hesperidin)","100 mg","† "
1039,"3301",713,"Rutin","100 mg","† "
1040,"3301",713,"Eyebright (<em>Euphrasia stricta</em>) (Aerials)","100 mg","† "
1041,"3301",713,"Green Tea (<em>Camelia sinensis</em>) Extract (Leaf) (min. 60% Polyphenols) (Contains 2 mg of naturally occurring caffeine)","50 mg","† "
1042,"3301",713,"Taurine","50 mg","† "
1043,"3301",713,"N-Acetyl Cysteine (NAC)","50 mg","† "
1044,"3301",713,"Bilberry (<em>Vaccinium myrtillus</em>) Extract (Fruit) (min. 25% Total Anthocyanosides)","40 mg","† "
1045,"3301",713,"Alpha Lipoic Acid","25 mg","† "
1046,"3301",713,"Grape Seed Extract (<em>Vitis vinifera</em>) (min. 90% Total Polyphenols)","25 mg","† "
1047,"3301",713,"<em>Ginkgo biloba</em> Extract (Leaf) (min. 24% Ginkgoflavonglycosides &#38; min. 6% Terpene Lactones","20 mg","† "
1048,"3301",713,"CoQ10 (as Ubidecarenone)","10 mg","† "
1049,"3301",713,"Lutein (Free-Form) (from 200 mg FloraGLO® Marigold Flowers Extract)","10 mg","† "
1050,"3301",713,"Zeaxanthin (from 200 mg FloraGLO® Marigold Flowers Extract)","500 mcg","† "
1051,"3301",713,"L-Glutathione (Reduced-Form)","2.5 mg","† "
1052,"3305",684,"Serving Size:","1 Vcap®",
1053,"3305",684,"Servings Per Container:",60,
1054,"3305",684,"Vitamin B6 (as coenzyme pyridoxal-5-phosphate (P-5-P)","20 mg",1000%
1055,"3305",684,"Vitamin B12 (as Cyanocobalamin)","250 mcg",4170%
1056,"3305",684,"Folic Acid","800 mcg",200%
1057,"3305",684,"Trimethylglycine (Betaine)","400 mg","* "
1058,"3307",648,"Serving Size:","2 Vcaps&ampreg;",
1059,"3307",648,"Servings Per Container:",60,
1060,"3307",648,"Calories",5," "
1061,"3307",648,"Total Carbohydrate","1 g","&#60;1%* "
1062,"3307",648,"Sodium","7 mg","<1% "
1063,"3307",648,"Niacin (as Niacinamide) (Vitamin B-3)","10 mg",50%
1064,"3307",648,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
1065,"3307",648,"Pantothenic Acid (frm Calcium d-Pantothenate)","10 mg",100%
1066,"3307",648,"Iodine (from Kelp)","150 mcg",100%
1067,"3307",648,"Chromium (from Amino Acid Chelate) (Chelavite®)","200 mcg",167%
1068,"3307",648,"<strong>ForsLean&ampreg; (Extract of&ampnbsp;<em>Coleus forskohlii</em> (Root)<br />(min 10% Forskolin)</strong>","<strong>125 mg</strong>","<strong>&ampdagger;</strong> "
1069,"3307",648,"<strong>L-Carnitine (Carnipure</strong><strong>™</strong><strong> )(from L-Carnitine Tartrate)</strong>","<strong>250 mg</strong>","<strong>†</strong> "
1070,"3307",648,"Super Citrimax® (<em>Garcinia cambogia</em>)<br /> Extract containing 225 mg (-) Hydroxycitric Acid)","375 mg","† "
1071,"3307",648,"Green Tea Extract (<em>Camellia sinenis</em>) (Leaf)<br /> (60% Polyphenols, 40% Catechins) (Contains 8 mg of naturally occurring Caffeine)","200 mg","† "
1072,"3307",648,"Uva Ursi Leaf (<i>Uvae usri folium</i>) (4:1 Extract)","50 mg","† "
1073,"3317",603,"Serving Size:","2 Capsules",
1074,"3317",603,"Servings Per Container:",90,
1075,"3317",603,"Apple Cider Vinegar Powder","900 mg","† "
1076,"3319",624,"Serving Size:","2 Vcaps®",
1077,"3319",624,"Servings Per Container:",90,
1078,"3319",624,"Calories",10," "
1079,"3319",624,"Calories from Fat",5," "
1080,"3319",624,"Total Fat","0.5 g","<1% "
1081,"3319",624,"Saturated Fat","0.5 g",2%
1082,"3319",624,"Total Carbohydrate","1 g","<1% "
1083,"3319",624,"Biotin","2 mg (2,000 mcg)",670%
1084,"3319",624,"Magnesium (from Magnesium Caprylate)","45 mg",10%
1085,"3319",624,"Caprylic Acid (from Magnesium Caprylate)","500 mg","† "
1086,"3319",624,"Pau D'Arco (<i>Tabebuia impetiginosa</i>) (Bark)","300 mg","† "
1087,"3319",624,"Black Walnut (<i>Juglans nigra L.</i>) (Hull)","300 mg","† "
1088,"3319",624,"Oregano Oil (<i>Origanum vulgare</i>) (min. 1.75% Volatiles)","200 mg","† "
1089,"3321",751,"Serving Size:","2 Vcaps&ampreg;",
1090,"3321",751,"Servings Per Container:",30,
1091,"3321",751,"Organic Red Yeast Rice (<em>Monascus purpureus</em>)","1.2 g (1,200 mg)","* "
1092,"3321",751,"Milk Thistle (<em>Silybum marianum</em>)<br /> Standardized Extract (min. 80% Silymarin)","210 mg","* "
1093,"3321",751,"Alpha Lipoic Acid","100 mg","* "
1094,"3321",751,"CoQ10 (Coenzyme Q10) (as Ubiquinone)","60 mg","* "
1095,"3323",783,"Serving Size:","2 Vcaps®",
1096,"3323",783,"Servings Per Container:",30,
1097,"3323",783,"Niacin (as Nicotinic Acid)","1.1 mg",6%
1098,"3323",783,"Chromium (ChromeMate®) (from Chromium Polynicotinate)","200 mcg",167%
1099,"3323",783,"<b>Hoodia (<i>Hoodia gordonii</i>) (Aerial Parts)</b>","<b>300 mg</b>","<b>†</b> "
1100,"3323",783,"<b>(Equivalent to 6,000 mg of Whole Plant)</b>",," "
1101,"3323",783,"Cocoa Extract (<i>Theobroma cacao</i>) (Seed)","400 mg","† "
1102,"3323",783,"(min. 7% Theobromine) (Contains 4 mg of Caffeine)",," "
1103,"3323",783,"Green Tea Extract (<i>Camellia sinensis</i>) (Leaf)","200 mg","† "
1104,"3323",783,"(min. 40% Catechins and 60% Polyphenols) (Contains 8 mg of Caffeine)",," "
1105,"3327",608,"Serving Size:","1 Capful (1 fl. oz. or 30 mL)",
1106,"3327",608,"Servings Per Container:",31,
1107,"3327",608,"Calories",40," "
1108,"3327",608,"Total Carbohydrate","8 g","3%* "
1109,"3327",608,"Dietary Fiber","0.2 g","<1% "
1110,"3327",608,"Sugars","2 g","† "
1111,"3327",608,"Protein","2 g",4%
1112,"3327",608,"Beta-Carotene (as pro-Vitamin A 348 mcg)","580 IU",10%
1113,"3327",608,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
1114,"3327",608,"Calcium","104 mg",10%
1115,"3327",608,"Sodium","61 mg",2%
1116,"3327",608,"Chromium (from Chromium Chelavite&#174;)","50 mcg",40%
1117,"3327",608,"Potassium","178 mg",6%
1118,"3327",608,"<strong>Awe-Slim™ Proprietary Blend<br style="" font-weight: bold;"" /> Aloe Vera Juice<br style="" font-weight: bold;"" /> Hydrolyzed Collagen<br style="" font-weight: bold;"" /> Apple Cider Vinegar<br style="" font-weight: bold;"" /> CLA (Conjugated Linoleic Acid)</strong>","<strong>12.9 g (12.6 mL)</strong>","<strong>†</strong> "
1119,"3327",608,"Super CitriMax® (<em>Garcinia cambogia</em> Extract)<br /> (min. 60% total HCA) (Fruit)","750 mg","† "
1120,"3327",608,"L-Carnitine (L-Carnipure™)","750 mg","† "
1121,"3327",608,"L-Arginine","500 mg","† "
1122,"3327",608,"L-Lysine (from L-Lysine HCl)","500 mg","† "
1123,"3327",608,"L-Ornithine (from L-Ornithine HCl)","500 mg","† "
1124,"3327",608,"<em>Stevia rebaudiana</em> Extract (Leaf)<br /> (min. 80% Rebaudioside A)","25 mg","† "
1125,"3331",658,"Serving Size:","2 Capsules",
1126,"3331",658,"Servings Per Container:",45,
1127,"3331",658,"Vitamin E (as d-alpha Tocopheryl Succinate)","15 IU",50%
1128,"3331",658,"Vitamin B-1 (from Thiamine HCl)","10 mg",670%
1129,"3331",658,"Riboflavin (Vitamin B-2)","10 mg",590%
1130,"3331",658,"Niacin (Vitamin B-3)","25 mg",130%
1131,"3331",658,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
1132,"3331",658,"Vitamin B-12 (as Cyanocobalamin)","100 mcg",1670%
1133,"3331",658,"Vitamin B-5 (from Calcium d-Pantothenate)","10 mg",100%
1134,"3331",658,"Iodine (from Kelp)","150 mcg",100%
1135,"3331",658,"Chromium (as Chromium Chelavite®)","200 mcg",170%
1136,"3331",658,"Potassium (from Potassium Aspartate)","55 mg",2%
1137,"3331",658,"Guarana Standardized Extract (<em>Paullinia cupana</em>) (Seed)<br /> (Contains 42 mg of Caffeine)","280 mg","† "
1138,"3331",658,"Green Tea Extract (<em>Camellia sinensis</em>) (Leaf)<br /> (Contains 8 mg of Caffeine)","200 mg","† "
1139,"3331",658,"Panax Ginseng (5% Ginsenosides) (Root)","150 mg","† "
1140,"3331",658,"Eleuthero (<em>Eleutherococcus senticosus</em>) (Root)","150 mg","† "
1141,"3331",658,"Rhodiola Extract (<em>Rhodiola rosea</em>) (Root)","100 mg","† "
1142,"3331",658,"Licorice (<em>Glycyrrhiza glabra</em>) (Root)","100 mg","† "
1143,"3331",658,"Gotu Kola (<em>Centella asiatica</em>) (Whole Plant) &#160;","100 mg","† "
1144,"3331",658,"Yerba Mate Extract (<em>llex paraguanensis</em>) (Leaf)<br /> (Contains 4 mg of Caffeine)","50 mg","† "
1145,"3331",658,"Cayenne (<em>Capsicum annuum</em>) (40,000 SHU) (Fruit)","50 mg","† "
1146,"3331",658,"Alpha Lipoic Acid","25 mg","† "
1147,"3331",658,"CoQ10","10 mg","† "
1148,"3331",658,"Octacosanol (from Spinach)","30 mcg","† "
1149,"3333",701,"Serving Size:","2 Vcaps®",
1150,"3333",701,"Servings Per Container:",30,
1151,"3333",701,"Hoodia (<i>Hoodia gordonii</i>) (Aerial Parts)","500 mg*"," "
1152,"3333",701,"(Equivalent to 10,000 mg of Whole Plant)",," "
1153,"3334",752,"Serving Size:","2 Vcaps&ampreg;",
1154,"3334",752,"Servings Per Container:",60,
1155,"3334",752,"Organic Red Yeast Rice (<em>Monascus purpureus</em>)","1.2 g (1,200 mg)","* "
1156,"3334",752,"Milk Thistle (<em>Silybum marianum</em>) Standardized Extract (min. 80% Silymarin)","210 mg","* "
1157,"3334",752,"Alpha Lipoic Acid","100 mg","* "
1158,"3334",752,"CoQ10 (Coenzyme Q10) (as Ubiquinone)","60 mg","* "
1159,"3335",700,"Serving Size:","2 Vcaps®",
1160,"3335",700,"Servings Per Container:",60,
1161,"3335",700,"Hoodia (<i>Hoodia gordonii</i>) (Aerial Parts)","500 mg*"," "
1162,"3335",700,"(Equivalent to 10,000 mg of Whole Plant)",," "
1163,"3340",744,"Serving Size:","2 Softgels",
1164,"3340",744,"Servings Per Container:",45,
1165,"3340",744,"Calories",10," "
1166,"3340",744,"Calories from Fat",10," "
1167,"3340",744,"Total Fat","1 g",2%
1168,"3340",744,"Trans Fat","0 g","† "
1169,"3340",744,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
1170,"3340",744,"Zinc (from Zinc Gluconate)","20 mg",133%
1171,"3340",744,"<b>Saw Palmetto Berry Extract†† (<i>Serenoa repens</i>)</b>","<b>160 mg</b>","<b>†</b> "
1172,"3340",744,"<b>Pygeum Africanum Bark Extract (13%)</b>","<b>10 mg</b>","<b>†</b> "
1173,"3340",744,"<b>Stinging Nettle Root Extract(<i>Urtica dioca</i>)(30 ppm scopoletin)</b>","<b>250 mg</b>","<b>†</b> "
1174,"3340",744,"Pumpkin Seed Oil","950 mg","† "
1175,"3340",744,"Lycopene (LYC-O-MATO®,  Natural Tomato Extract)","3 mg","† "
1176,"3341",745,"Serving Size:","2 Softgels",
1177,"3341",745,"Servings Per Container:",90,
1178,"3341",745,"Calories",10," "
1179,"3341",745,"Calories from Fat",10," "
1180,"3341",745,"Total Fat","1 g",2%
1181,"3341",745,"Trans Fat","0 g","† "
1182,"3341",745,"Vitamin B-6 (from Pyridoxine HCl)","10 mg",500%
1183,"3341",745,"Zinc (from Zinc Gluconate)","20 mg",133%
1184,"3341",745,"<b>Saw Palmetto Berry Extract†† (<i>Serenoa repens</i>)</b>","<b>160 mg</b>","<b>†</b> "
1185,"3341",745,"<b>Pygeum Africanum Bark Extract (13%)</b>","<b>10 mg</b>","<b>†</b> "
1186,"3341",745,"<strong>Stinging Nettle Root Extract (<em>Urtica dioca</em>) </strong><strong>(30 ppm scopoletin)</strong>","<strong>250 mg</strong>","<strong>†</strong> "
1187,"3341",745,"Pumpkin Seed Oil","950 mg","† "
1188,"3341",745,"Lycopene (LYC-O-MATO® Natural Tomato Extract)","3 mg","† "
1189,"3342",753,"Serving Size:","1 Vcap&ampreg;",
1190,"3342",753,"Servings Per Container:",60,
1191,"3342",753,"Relora®* (A proprietary blend of a patented** extract from <em>Magnolia officinalis</em> bark and a proprietary extract from <em>Phellodendron amurense </em>bark)","300 mg","† "
1192,"3344",775,"Serving Size:","1 Vcap&ampreg;",
1193,"3344",775,"Servings Per Container:",90,
1194,"3344",775,"Vitamin C (from Calcium Ascorbate)","33 mg",60%
1195,"3344",775,"Pantothenic Acid (from Calcium Pantothenate)","10 mg",100%
1196,"3344",775,"Calcium (from Calcium Carbonate and Ascorbate)","12 mg",2%
1197,"3344",775,"Magnesium (from Magnesium Oxide)","8 mg",2%
1198,"3344",775,"Chromium (from Chromium Chelavite® AAC)","20 mcg",15%
1199,"3344",775,"Relora® (a proprietary blend of a patented** extract from <i>Magnolia</","200 mg","† "
1200,"3344",775,"<i>officinalis<i> bark and a proprietary extract from  <i>Phellodendron</i>",," "
1201,"3344",775,"<i>amurense</i> bark)",," "
1202,"3344",775,"Green Tea Extract (<i>Camelia sinensis</i>) (Leaf)","90 mg","† "
1203,"3344",775,"(min. 95% Total Polyphenols and 50% EGCg)",," "
1204,"3344",775,"Soy Lecithin","50 mg","† "
1205,"3344",775,"Ashwagandha Extract (<i>Withania somnifera</i>) (Root)","20 mg","† "
1206,"3344",775,"(min. 4.5% Withanolides)",," "
1207,"3344",775,"Holy Basil Extract (<i>Ocimum tenulflorum</i>) (Leaf)","20 mg","† "
1208,"3344",775,"(min. 2% Ursolic Acid)","20 mg","† "
1209,"3344",775,"Reishi Mushroom (</i>Ganoderma lucidum</i>) (Whole Fruiting Body)","20 mg","† "
1210,"3344",775,"Rhodiola Extract (<i>Rhodiola rosea</i>) (Root) (min. 3% Rosavins)","20 mg","† "
1211,"3344",775,"Banaba Extract (<i>Lagerstroemia speciosa</i>) (Leaf)","4 mg","† "
1212,"3344",775,"(min. 1% Corosolic Acid)",," "
1213,"3355",592,"Serving Size:","2 Vcaps&ampreg;",
1214,"3355",592,"Servings Per Container:",50,
1215,"3355",592,"Organic Acai Palmberry (Freeze-Dried) (Euterpe oleracea) (Fruit Skin and Pulp)","1.0 g (1,000 mg)*"," "
1216,"3365",796,"Serving Size:",,
1217,"3365",796,"Servings Per Container:",,
1218,"3368",781,"Serving Size:","2 Vcaps&ampreg;",
1219,"3368",781,"Servings Per Container:",45,
1220,"3368",781,"Vitamin B-6 (from Pyndoxine HCl)","2 mg",100%
1221,"3368",781,"Folate (as Folic Acid)","400 mcg",100%
1222,"3368",781,"Vitamin B-12 (as Methylcobalamin)","60 mcg",1000%
1223,"3368",781,"Iodine (from Kelp and Irish Moss)","225 mcg",150%
1224,"3368",781,"Zinc (from L-OptiZinc&ampreg; - Zinc L-Methionine Complex)","25 mg",167%
1225,"3368",781,"Selenium (from L-Selenomethionine) (Yeast-Free)","50 mcg",71%
1226,"3368",781,"Copper (from Copper Amino Acid Chelate)","1 mg",50%
1227,"3368",781,"L-Tyrosine (Free-Form)","1.0 g (1,000 mg)","† "
1228,"3368",781,"Irish Moss (<i>Chondrus crispus</i>) (Thallus)","200 mg","† "
1229,"3368",781,"Guggul (<em>Commiphora mukul</em>) (Resinous Sap)<br /> Standardized Extract (min. 2.5% Guggulsterones)","75 mg","† "
1230,"3368",781,"Organic Kelp (L<em>aminaria digitata</em>) (Whole Plant)","60 mg","† "
1231,"3368",781,"Ashwagandha (<em>Witharia sommifera</em>) (Root)<br /> Standardized Extract (min. 4.5% Withanolides)","50 mg","† "
1232,"3368",781,"Trace Mineral Concentrate","5 mg","† "
1233,"3377",683,"Serving Size:","2 Vcaps&ampreg;",
1234,"3377",683,"Servings Per Container:",30,
1235,"3377",683,"EstroG-100™ (a proprietary blend of extracts of <em>Phlomis umbrosa</em>, <em>Cynanchum wilfordii</em> and <em>Angelica gigas Nakai</em>)","514 mg","* "
1236,"3508",778,"Serving Size:","1 Vcap®",
1237,"3508",778,"Servings Per Container:",120,
1238,"3508",778,"Chromium (from Chromium Chelavite® Amino Acid Chelate)","60 mcg",50%
1239,"3508",778,"Sytrinol® (Proprietary Blend of Natural Citrus and Palm Fruit Extract)","150 mg","† "
1240,"3508",778,"Milk Thistle Extract (Silybum marianum) (Fruit/Seeds) (min. 80% Silymarin)","50 mg","† "
1241,"3508",778,"Alpha Lipoic Acid","50 mg","† "
1242,"3508",778,"Policosanol (frm Sugar Cane)","10 mg","† "
1243,"3771",644,"Serving Size:","1 Tablet",
1244,"3771",644,"Servings Per Container:",250,
1245,"3771",644,"Beta-Carotene (as pro-Vitamin A 0.6 mg)","1,000 IU",20%
1246,"3771",644,"Vitamin A (from Retinyl Palmitate)","4000 IU",80%
1247,"3771",644,"Vitamin C (as Ascorbic Acid)","60 mg",100%
1248,"3771",644,"Vitamin D (as Ergocalciferol)","100 IU",25%
1249,"3771",644,"Vitamin E (from d-alpha Tocopheryl Succinate)","30 IU",100%
1250,"3771",644,"Thiamine (from Thiamine HCl)","1.5 mg",100%
1251,"3771",644,"Riboflavin","1.7 mg",100%
1252,"3771",644,"Niacin (as Niacinamide)","20 mg",100%
1253,"3771",644,"Vitamin B-6 (from Pyridoxine HCl)","2 mg",100%
1254,"3771",644,"Folic Acid","400 mcg",100%
1255,"3771",644,"Vitamin B-12 (as Cyanocobalamin)","6 mcg",100%
1256,"3771",644,"Biotin","300 mcg",100%
1257,"3771",644,"Pantothenic Acid (from Calcium d-Pantothenate)","10 mg",100%
1258,"3771",644,"Calcium (from Calcium Carbonate)","150 mg",15%
1259,"3771",644,"Iron (from Amino Acid Chelate)","9 mg",50%
1260,"3771",644,"Iodine (from Potassium Iodide)","150 mcg",100%
1261,"3771",644,"Magnesium (from Magnesium Oxide)","75 mg",19%
1262,"3771",644,"Zinc (from Amino Acid Chelate)","15 mg",100%
1263,"3771",644,"Selenium (from L-Selenomethionine)","35 mcg",50%
1264,"3771",644,"Copper (from Amino Acid Chelate)","1 mg",50%
1265,"3771",644,"Manganese (from Amino Acid Chelate)","2 mg",100%
1266,"3771",644,"Chromium (from AAC**) (Chelavite®)","60 mcg",50%
1267,"3771",644,"Molybdenum (from Sodium Molybdate)","35 mcg",47%
1268,"3771",644,"Potassium (from Potassium Chloride)","40 mg",1%
1269,"3771",644,"Boron (from Boron Citrate)","150 mcg","† "
